comparison,behav_var,image_var,rho,p
MWMdist_fornixR,swimdist_t6,localeff_bin,-0.33582995951417,0.036603783446362
MWMdist_fornixR,swimdist_t6,eigenvectorcent_bin,0.353441295546559,0.0272991963353904
MWMdist_fornixR,swimdist_t6,pagerankcent_bin,0.340890688259109,0.0336978535101929
MWMdist_temporalassnL,swimdist_t2,degree_bin,0.438223854513199,0.0052652964341373
MWMdist_temporalassnL,swimdist_t2,strength_weight,0.362753036437247,0.0232311786391106
MWMdist_temporalassnL,swimdist_t2,localeff_weight,0.36417004048583,0.0226588231876749
MWMdist_temporalassnL,swimdist_t2,eigenvectorcent_bin,0.37085020242915,0.0201163768322772
MWMdist_temporalassnL,swimdist_t5,eigenvectorcent_bin,0.338461538461538,0.0350681656128662
MWMdist_temporalassnL,swimdist_t2,eigenvectorcent_weight,0.362753036437247,0.0232311786391106
MWMdist_temporalassnL,swimdist_t2,pagerankcent_bin,0.366396761133603,0.0217831661472997
MWMdist_temporalassnL,swimdist_t2,pagerankcent_weight,0.376720647773279,0.018083435601695
MWMdist_temporalassnR,swimdist_t6,betweencent_weight,0.357894736842105,0.0252856569686691
MWMtime_NetpropRunno,swimtime_t2,globaleff_weight,0.321862348178138,0.0456995291635495
MWMtime_NetpropRunno,swimtime_t1,assortcoeff_bin,-0.347042628733039,0.030422830991805
MWMtime_amygdalaL,swimtime_t2,strength_weight,0.415384615384615,0.00854644348531207
MWMtime_amygdalaL,swimtime_t6,clustercoeff_bin,-0.324493927125506,0.0438589293285729
MWMtime_amygdalaL,swimtime_t6,localeff_bin,-0.324493927125506,0.0438589293285729
MWMtime_amygdalaL,swimtime_t2,localeff_weight,0.411538461538462,0.00924364399904201
MWMtime_amygdalaL,swimtime_t1,betweencent_weight,-0.3474179217404,0.0302318413358802
MWMtime_amygdalaL,swimtime_t3,pagerankcent_weight,-0.325506072874494,0.0431671845179148
MWMtime_amygdalaR,swimtime_t1,degree_bin,0.415833609403391,0.0084680703791729
MWMtime_amygdalaR,swimtime_t2,strength_weight,0.326113360323887,0.0427563977529406
MWMtime_cingulate_24bL,swimtime_t1,betweencent_weight,-0.384857467013265,0.0155530239440627
MWMtime_cingulate_24bpL,swimtime_t2,strength_weight,0.338056680161943,0.0353009229798814
MWMtime_cingulate_24bpR,swimtime_t2,strength_weight,0.4,0.0116343187301943
MWMtime_cingulate_24bpR,swimtime_t5,strength_weight,0.319635627530364,0.0473052406138708
MWMtime_cingulate_24bpR,swimtime_t1,eigenvectorcent_bin,0.317461666529959,0.0489164814611337
MWMtime_cingulate_24bpR,swimtime_t5,eigenvectorcent_weight,0.367004048582996,0.021549311172371
MWMtime_cingulate_24bR,swimtime_t2,strength_weight,0.465789473684211,0.00280496940590281
